
2017-02-26T21:36:20.806 : addOrder: Order Number. 1 |Order Date: 2018-12-12 |Client Name: 1 |State: PA |State Tax: 6.75 |Product: Laminate |Area: 1 |Material Cost: 1.75 |Labor Cost: 2.10 |Total Material Cost: 1.75 |Total Labor Cost: 2.10 |Total Tax: 0.259875 |Total Cost: 4.109875
2017-02-26T22:42:45.893 : addOrder: Order Number. 100 |Order Date: 2018-02-05 |Client Name: chen |State: PA |State Tax: 6.75 |Product: Laminate |Area: 100 |Material Cost: 1.75 |Labor Cost: 2.10 |Total Material Cost: 175.00 |Total Labor Cost: 210.00 |Total Tax: 25.987500 |Total Cost: 410.987500
2017-02-26T23:34:31.624 : addOrder: Order Number. 666 |Order Date: 2018-06-06 |Client Name: thuan |State: OH |State Tax: 6.25 |Product: Carpet |Area: 21 |Material Cost: 2.25 |Labor Cost: 2.10 |Total Material Cost: 47.25 |Total Labor Cost: 44.10 |Total Tax: 5.709375 |Total Cost: 97.059375
2017-02-26T23:59:55.495 : addOrder: Order Number. 234 |Order Date: 2020-05-31 |Client Name: Chris |State: OH |State Tax: 6.25 |Product: Wood |Area: 666 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 3429.90 |Total Labor Cost: 3163.50 |Total Tax: 412.087500 |Total Cost: 7005.487500
2017-02-27T00:03:05.527 : editOrder: Order Number. 234 |Order Date: 2020-05-31 |Client Name: Chris |State: OH |State Tax: 6.25 |Product: Wood |Area: 666 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 3429.90 |Total Labor Cost: 3163.50 |Total Tax: 412.087500 |Total Cost: 7005.487500
2017-02-27T00:05:19.503 : addOrder: Order Number. 987 |Order Date: 2018-03-07 |Client Name: Cole |State: OH |State Tax: 6.25 |Product: Carpet |Area: 999 |Material Cost: 2.25 |Labor Cost: 2.10 |Total Material Cost: 2247.75 |Total Labor Cost: 2097.90 |Total Tax: 271.603125 |Total Cost: 4617.253125
2017-02-27T00:09:04.431 : addOrder: Order Number. 222 |Order Date: 2018-03-07 |Client Name: Joe |State: PA |State Tax: 6.75 |Product: Tile |Area: 9 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 31.50 |Total Labor Cost: 37.35 |Total Tax: 4.647375 |Total Cost: 73.497375
2017-02-27T00:14:04.967 : addOrder: Order Number. 99 |Order Date: 2018-01-01 |Client Name: Thuan |State: PA |State Tax: 6.75 |Product: Wood |Area: 1 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 5.15 |Total Labor Cost: 4.75 |Total Tax: 0.668250 |Total Cost: 10.568250
2017-02-27T00:14:30.146 : editOrder: Order Number. 99 |Order Date: 2018-01-01 |Client Name: Thuan |State: PA |State Tax: 6.75 |Product: Wood |Area: 1 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 5.15 |Total Labor Cost: 4.75 |Total Tax: 0.668250 |Total Cost: 10.568250
2017-02-27T00:15:45.481 : addOrder: Order Number. 1 |Order Date: 2018-01-01 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 3234 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 11319.00 |Total Labor Cost: 13421.10 |Total Tax: 1669.956750 |Total Cost: 26410.056750
2017-02-27T00:45:43.608 : addOrder: Order Number. 60 |Order Date: 2018-02-02 |Client Name: tim |State: IN |State Tax: 6.00 |Product: Tile |Area: 20 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 70.00 |Total Labor Cost: 83.00 |Total Tax: 9.180000 |Total Cost: 162.180000
2017-02-27T00:47:41.363 : editOrder: Order Number. 60 |Order Date: 2018-02-02 |Client Name: tim |State: IN |State Tax: 6.00 |Product: Tile |Area: 20 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 70.00 |Total Labor Cost: 83.00 |Total Tax: 9.180000 |Total Cost: 162.180000
2017-02-27T00:49:03.753 : editOrder: Order Number. 1 |Order Date: 2018-01-01 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 3234 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 11319.00 |Total Labor Cost: 13421.10 |Total Tax: 1669.956750 |Total Cost: 26410.056750
2017-02-27T00:57:53.327 : addOrder: Order Number. 669 |Order Date: 2018-04-01 |Client Name: Honey Buns |State: OH |State Tax: 6.25 |Product: Wood |Area: 31 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 159.65 |Total Labor Cost: 147.25 |Total Tax: 19.181250 |Total Cost: 326.081250
2017-02-27T01:00:00.975 : editOrder: Order Number. 669 |Order Date: 2018-04-01 |Client Name: Honey Buns |State: OH |State Tax: 6.25 |Product: Wood |Area: 31 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 159.65 |Total Labor Cost: 147.25 |Total Tax: 19.181250 |Total Cost: 326.081250
2017-02-27T01:38:27.774 : removeOrder: Order Number. 669 |Order Date: 2018-04-01 |Client Name: Debbie |State: OH |State Tax: 6.25 |Product: Wood |Area: 31 |Material Cost: 5.15 |Labor Cost: 4.75 |Total Material Cost: 159.65 |Total Labor Cost: 147.25 |Total Tax: 18.4140 |Total Cost: 325.3140
2017-02-27T09:28:39.287 : editOrder: Order Number. 1 |Order Date: 2018-01-01 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 50 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 175.00 |Total Labor Cost: 207.50 |Total Tax: 26.7750 |Total Cost: 409.2750
2017-02-27T09:31:31.392 : addOrder: Order Number. 666 |Order Date: 2018-01-01 |Client Name: sam i am |State: OH |State Tax: 6.25 |Product: Carpet |Area: 50 |Material Cost: 2.25 |Labor Cost: 2.10 |Total Material Cost: 112.50 |Total Labor Cost: 105.00 |Total Tax: 13.593750 |Total Cost: 231.093750
2017-02-27T09:33:40.169 : removeOrder: Order Number. 1 |Order Date: 2018-01-01 |Client Name: Joe hwej |State: PA |State Tax: 6.75 |Product: Tile |Area: 50 |Material Cost: 3.50 |Labor Cost: 4.15 |Total Material Cost: 175.00 |Total Labor Cost: 207.50 |Total Tax: 26.7750 |Total Cost: 409.2750
